time,SST
2015-01-16,27.515137
2015-02-16,27.95221
2015-03-16,28.598724
2015-04-16,28.735596
2015-05-16,29.53366
2015-06-16,26.630676
2015-07-16,24.895721
2015-08-16,24.496155
2015-09-16,24.197632
2015-10-16,26.81018
2015-11-16,28.126373
2015-12-16,27.871582
2016-01-16,27.355133
2016-02-16,26.690308
2016-03-16,28.464691
2016-04-16,28.987793
2016-05-16,28.812622
2016-06-16,26.731323
2016-07-16,24.873749
2016-08-16,24.531647
2016-09-16,25.702514999999998
2016-10-16,27.496643
2016-11-16,28.783173
2016-12-16,28.991333
2017-01-16,27.885468
2017-02-16,28.11676
2017-03-16,28.576721
2017-04-16,29.22528
2017-05-16,29.225128
2017-06-16,27.153564
2017-07-16,25.273193
2017-08-16,24.137482
2017-09-16,24.869629
2017-10-16,27.47641
2017-11-16,28.982483
2017-12-16,28.275543
2018-01-16,26.827118
2018-02-16,28.54364
2018-03-16,28.548676
2018-04-16,28.705475
2018-05-16,29.129456
2018-06-16,27.40747
2018-07-16,25.585663
2018-08-16,25.069733
2018-09-16,25.97647
2018-10-16,27.608673
2018-11-16,29.190643
2018-12-16,29.069977
2019-01-16,28.648865
2019-02-16,28.666351
2019-03-16,28.792358
2019-04-16,29.49643
2019-05-16,29.710999
2019-06-16,26.573761
2019-07-16,25.474487
2019-08-16,24.862518
2019-09-16,25.882172
2019-10-16,27.034485
2019-11-16,29.223114
2019-12-16,29.50357
2020-01-16,29.034607
2020-02-16,28.634613
2020-03-16,28.154266
2020-04-16,28.446228
2020-05-16,29.554718
2020-06-16,27.686462
2020-07-16,25.012787
2020-08-16,24.554474
2020-09-16,24.675781
2020-10-16,26.868591
2020-11-16,28.703674
2020-12-16,28.787354
2021-01-16,27.732178
2021-02-16,28.450684
2021-03-16,28.354584
2021-04-16,29.052948
2021-05-16,28.489288
2021-06-16,28.825928
